35	40	44	28	43	0	0	16	0	11	4	0	26	0	47	35	32	35	0	42	6	0	20	0	10	48	29	40	24	22	12	0	18	4	23	43	9	0	33	21	0	23	0	49	12	4	0	4	15	48	
26	44	0	36	49	36	0	40	39	0	0	26	20	36	43	40	8	0	0	28	29	11	23	13	0	0	29	2	19	43	35	0	7	34	47	31	5	26	19	42	9	37	35	26	24	22	0	13	18	37	
44	11	28	7	45	29	0	2	29	26	24	18	40	20	0	41	23	37	14	19	44	0	26	29	31	0	46	30	39	0	20	0	19	14	18	27	8	9	3	30	35	43	26	0	48	17	18	24	22	18	
30	7	12	8	23	23	2	11	28	21	35	8	34	32	16	36	27	20	0	9	43	47	41	21	43	20	47	9	27	31	23	9	34	23	40	32	0	25	0	28	37	36	21	4	40	27	2	7	23	12	
0	17	6	6	33	8	22	12	38	5	47	41	28	32	0	34	32	15	40	7	16	29	0	0	2	0	28	39	40	35	30	0	8	4	49	45	27	26	0	19	36	36	32	0	25	18	26	12	38	26	
0	0	19	32	0	24	0	0	10	21	45	31	11	11	33	0	0	12	15	17	8	34	30	29	13	18	15	18	3	24	39	0	8	0	33	18	0	32	1	49	37	44	27	43	43	2	17	33	22	1	
35	25	25	44	18	9	19	0	9	41	0	0	5	18	0	41	24	0	0	0	13	31	27	0	44	20	3	27	14	34	12	0	31	44	39	23	21	0	4	0	37	47	34	33	37	7	33	48	39	13	
16	14	0	32	8	18	35	4	11	0	2	7	26	0	0	0	41	28	48	27	44	2	33	0	46	44	39	23	0	42	0	0	0	14	7	31	0	4	15	17	0	20	24	7	37	2	48	38	0	47	
0	47	48	6	3	38	35	0	0	0	0	41	27	0	0	47	14	36	0	0	14	0	37	0	0	0	44	0	30	0	45	25	12	47	0	3	37	12	5	0	41	5	13	0	13	47	38	0	9	8	
3	15	48	0	24	9	14	0	35	7	27	10	8	12	0	11	34	0	15	4	40	20	34	44	45	42	47	28	18	30	32	14	13	44	18	10	14	48	31	49	38	40	13	33	46	42	1	12	29	34	
38	28	40	20	0	24	21	47	23	49	29	0	23	0	0	34	35	14	0	35	0	21	36	31	0	0	30	19	49	33	47	10	0	10	17	0	18	12	7	1	39	29	49	16	24	2	24	0	0	14	
11	35	10	0	0	1	44	10	3	34	9	1	22	0	8	0	14	4	33	47	34	46	15	43	37	41	20	11	6	46	0	0	34	22	0	35	0	45	3	0	31	0	26	0	0	19	19	27	37	10	
39	0	20	15	3	36	16	0	40	37	0	38	0	34	33	0	6	0	23	49	17	11	10	47	28	42	29	48	32	0	39	4	49	0	24	47	21	41	18	0	0	0	42	0	28	34	0	24	26	42	
32	0	48	13	1	0	0	6	19	28	27	13	29	10	22	32	48	11	22	43	37	31	1	18	22	28	11	19	0	18	28	29	11	0	46	4	5	25	42	32	28	46	0	0	0	4	34	25	0	9	
14	34	30	12	44	23	4	47	35	27	39	4	29	46	36	0	34	34	40	0	29	6	31	1	38	9	41	4	7	9	0	41	0	30	12	8	0	0	23	39	33	49	36	38	16	48	26	37	46	45	
42	0	26	45	4	25	0	0	13	0	0	0	39	42	16	0	16	12	0	45	25	42	1	16	23	5	0	39	23	0	24	36	8	31	30	45	3	29	25	33	22	2	47	21	37	40	16	36	48	0	
17	0	0	28	30	43	38	42	25	48	0	13	30	26	6	17	47	46	0	5	0	12	24	18	7	0	19	9	43	43	2	20	18	13	3	42	11	24	0	44	34	0	8	5	0	0	39	2	32	18	
14	0	30	49	14	44	37	46	3	17	3	0	10	26	40	21	0	5	0	17	0	0	45	23	35	27	43	0	9	43	0	8	10	38	45	16	0	44	27	4	0	49	3	34	10	19	8	5	23	10	
41	41	10	8	11	16	0	9	22	3	11	28	33	12	29	46	17	20	0	36	23	3	44	7	38	14	34	39	28	24	0	0	3	21	0	19	6	4	0	4	39	2	46	16	9	16	13	26	31	37	
3	34	44	0	48	0	2	11	3	38	27	0	0	43	40	6	0	34	31	5	38	20	23	35	1	38	42	2	9	7	4	14	0	33	0	0	0	36	48	12	46	5	19	16	0	24	1	33	28	2	
24	0	0	0	5	25	48	48	37	24	18	49	13	31	28	3	49	33	32	44	29	41	35	4	2	22	22	3	0	0	0	40	1	42	0	35	17	30	20	13	19	12	40	0	41	22	0	5	25	21	
0	6	25	2	0	25	6	5	0	0	25	11	4	17	0	8	17	0	0	41	44	23	26	21	43	0	28	40	12	0	18	24	16	31	0	30	7	2	40	0	46	0	20	13	0	30	39	9	0	1	
0	32	17	43	2	4	22	15	45	19	0	47	13	3	0	0	46	47	32	26	6	35	0	43	1	1	17	49	33	33	0	32	17	49	30	9	14	49	37	0	0	6	0	45	7	20	0	48	48	33	
21	0	30	4	1	19	25	33	20	0	0	30	10	13	31	49	0	18	48	14	35	28	29	48	13	0	21	10	9	19	38	38	12	7	0	45	23	40	24	0	24	13	37	2	45	37	19	2	48	17	
16	15	34	0	8	40	16	33	0	24	22	49	27	14	37	15	17	34	48	34	18	33	1	45	45	7	24	0	23	35	24	42	0	26	45	0	42	9	46	26	0	9	0	0	30	36	29	19	32	25	
31	20	13	2	23	44	0	44	34	0	31	0	49	15	37	40	5	16	26	29	0	2	29	0	1	25	25	9	11	12	10	22	0	0	46	0	29	33	30	40	47	1	34	44	24	31	20	4	7	0	
0	17	0	8	45	42	25	17	0	0	0	17	20	6	38	9	45	6	11	34	18	0	0	47	0	23	33	0	32	0	0	37	18	9	47	2	0	23	47	20	12	0	42	3	23	10	21	3	13	41	
24	16	9	45	49	0	0	26	45	24	0	5	13	28	30	11	26	16	6	38	8	11	0	49	17	5	0	41	2	25	8	20	28	18	31	0	0	48	26	29	9	3	0	11	0	13	15	1	24	25	
1	32	48	35	39	45	0	11	33	28	25	43	26	47	3	20	26	7	0	42	46	0	34	41	0	29	5	20	0	43	20	13	48	28	0	16	48	4	21	32	16	0	0	15	30	15	28	0	38	27	
35	12	31	0	49	3	34	46	3	42	19	22	33	17	3	30	33	32	44	0	45	5	30	44	14	7	32	23	39	42	0	4	0	0	35	0	0	33	24	42	8	0	0	33	0	19	22	19	37	14	
32	0	25	0	7	46	7	48	38	6	23	22	0	17	27	16	7	0	29	10	1	0	37	18	11	23	0	0	12	44	4	10	0	13	3	9	22	44	41	20	30	20	32	0	10	25	22	18	49	0	
