13	8	32	6	39	7	41	26	39	16	47	0	8	29	44	37	39	26	48	21	
7	0	42	20	0	17	6	13	7	14	11	0	33	42	6	0	12	22	0	33	
0	0	25	43	15	17	0	39	32	13	40	2	19	0	36	0	30	19	38	19	
45	26	23	31	40	35	3	0	18	19	36	7	0	5	23	0	34	20	33	28	
31	25	1	25	8	30	10	45	48	39	44	21	16	42	33	11	31	29	25	29	
45	26	22	48	0	26	0	48	0	0	5	32	41	1	49	44	6	1	8	10	
28	0	0	0	32	0	5	22	28	0	13	41	0	0	13	6	37	0	27	33	
28	18	0	3	13	30	47	0	26	49	0	34	44	14	41	0	27	0	0	20	
33	12	23	9	30	47	31	0	15	30	38	4	17	48	3	8	23	15	31	25	
25	0	26	21	0	16	49	42	2	30	46	43	22	35	9	3	0	36	28	0	
28	0	48	18	38	0	20	0	25	37	0	3	23	22	0	40	39	12	19	49	
2	22	37	0	33	23	31	37	0	12	7	42	0	41	0	49	3	13	34	1	
36	0	27	20	3	20	0	0	3	37	0	39	29	38	0	48	24	12	30	21	
9	9	0	20	15	32	18	0	4	39	0	15	23	11	35	49	16	42	12	14	
32	0	11	40	33	41	31	22	42	5	11	47	0	7	32	22	8	7	16	22	
19	1	0	14	43	31	0	20	14	0	18	38	1	4	19	29	0	11	21	25	
