41	40	0	31	23	11	32	13	7	25	24	16	42	0	37	14	22	31	29	14	
37	18	6	19	27	13	0	35	3	49	33	30	19	6	19	48	22	30	7	41	
49	0	41	0	49	0	46	37	0	23	16	0	37	40	49	25	35	37	41	35	
44	0	1	0	3	43	12	46	24	21	30	0	15	18	31	0	31	19	49	19	
29	35	47	10	31	17	2	3	12	46	26	8	13	18	3	1	29	0	12	0	
0	29	1	30	4	0	40	45	42	10	27	21	27	31	9	0	9	0	0	28	
0	36	6	19	43	36	1	20	24	7	37	0	35	16	13	10	0	0	10	0	
41	22	14	20	42	30	0	40	39	0	30	0	0	26	25	22	2	26	18	14	
0	46	43	7	18	0	23	36	7	0	17	37	44	34	0	17	20	1	42	37	
16	0	43	30	46	0	28	0	3	0	7	20	0	7	34	21	24	46	40	24	
2	0	0	43	41	0	7	7	0	0	37	28	47	26	17	23	31	23	0	32	
28	17	43	35	36	15	32	42	0	0	19	11	33	40	46	35	25	30	33	16	
21	29	13	0	0	23	40	30	44	39	13	30	0	5	0	6	30	32	16	41	
20	36	2	18	39	0	16	0	45	0	13	14	0	47	0	0	22	4	31	45	
34	18	8	15	0	33	0	0	38	34	21	37	35	24	45	46	2	23	28	1	
11	0	42	7	41	5	0	34	7	0	21	12	24	0	47	0	15	25	6	15	
0	40	0	47	27	15	24	1	9	0	6	31	31	41	33	0	1	0	25	44	
5	43	10	17	36	48	0	4	42	1	3	0	46	12	13	25	0	14	22	36	
23	0	8	28	44	0	0	4	20	44	9	18	9	29	15	14	46	45	23	23	
0	0	14	36	16	0	13	9	49	10	0	19	44	7	14	48	47	0	8	34	
21	43	42	19	0	34	21	29	29	11	40	32	14	0	0	28	1	34	21	39	
35	22	38	21	26	45	0	20	0	19	23	22	27	23	19	49	8	44	35	35	
0	8	24	43	8	42	44	0	37	30	6	32	36	27	13	12	26	32	46	0	
0	2	27	29	47	21	0	35	4	26	36	32	44	35	0	0	24	7	6	31	
25	41	34	3	22	49	36	16	0	0	10	16	0	0	0	46	0	0	37	0	
31	27	4	36	0	32	0	46	10	32	16	29	0	0	28	0	0	38	19	8	
44	22	0	9	17	31	0	0	9	36	0	29	19	38	20	0	17	43	23	37	
18	26	0	15	10	19	0	9	5	33	33	1	42	0	0	11	36	10	0	44	
46	30	10	46	22	17	0	27	15	3	40	0	0	31	7	30	17	30	6	41	
31	5	36	0	26	0	0	0	21	0	0	3	2	20	2	0	25	22	37	29	
0	40	22	0	40	46	10	17	3	44	38	0	24	11	20	46	38	20	17	8	
46	39	13	29	23	0	33	41	23	26	6	0	29	14	42	45	0	22	47	0	
6	0	18	19	20	17	13	29	44	0	12	47	26	2	43	23	0	23	19	27	
46	31	5	23	3	27	39	30	46	0	5	5	1	0	6	13	40	27	40	25	
24	7	0	0	0	35	36	6	5	0	40	33	0	37	0	7	0	0	46	31	
0	39	0	32	22	18	0	45	8	26	16	5	17	45	36	44	20	9	44	12	
21	17	3	16	22	22	22	19	34	0	16	0	0	29	4	0	41	0	16	27	
28	47	0	21	23	21	30	16	32	6	42	1	43	36	2	15	43	37	26	48	
8	42	0	0	28	45	32	9	0	0	29	0	44	14	0	9	36	27	32	0	
27	10	43	6	11	14	5	41	11	0	12	3	8	43	22	7	30	0	25	28	
