41	1	0	45	39	0	21	14	11	37	0	10	0	15	36	23	49	41	13	5	45	49	0	0	16	28	24	15	7	17	0	22	0	0	48	0	24	0	8	40	27	27	0	24	20	18	7	13	8	5	19	0	28	28	13	18	8	2	17	47	49	33	34	43	0	48	34	1	39	6	32	19	5	9	13	31	6	47	40	1	0	46	20	33	10	0	42	43	12	14	10	0	13	47	46	0	18	33	0	3	
18	30	0	19	14	0	11	38	25	19	0	12	0	15	22	35	27	40	7	33	20	14	0	0	25	16	35	28	8	43	0	24	0	0	6	0	17	0	16	3	24	27	0	9	5	28	41	19	46	14	2	0	14	40	31	38	46	6	21	48	24	13	17	20	0	45	25	4	49	6	13	9	22	8	45	43	1	48	11	48	0	47	23	46	13	0	12	47	31	32	25	0	9	46	19	0	19	33	0	26	
20	22	0	32	14	0	30	46	25	13	0	29	0	11	45	25	41	28	16	19	12	41	0	0	20	39	13	37	41	26	0	11	0	0	26	0	3	0	21	37	18	28	0	24	45	26	4	24	2	29	22	0	24	35	39	18	30	14	33	1	23	42	6	26	0	41	23	7	17	28	12	13	30	35	16	45	21	34	25	1	0	13	17	45	29	0	14	8	4	40	38	0	37	38	42	0	36	33	0	27	
1	27	0	10	37	0	6	37	9	41	0	30	0	11	37	24	4	17	46	46	45	28	0	0	44	21	30	12	39	19	0	26	0	0	38	0	16	0	27	33	4	23	0	7	11	27	41	32	16	13	49	0	12	2	39	15	15	44	20	19	7	33	41	46	0	21	18	25	11	23	32	20	20	25	35	27	29	31	48	4	0	18	16	24	48	0	48	45	29	26	42	0	23	24	28	0	19	8	0	15	
14	2	0	21	28	0	5	25	15	22	0	5	0	46	9	28	26	4	10	2	2	15	0	0	30	17	43	17	19	39	0	6	0	0	34	0	19	0	48	32	30	14	0	17	27	28	28	49	49	1	2	0	36	37	28	38	45	18	12	7	37	39	44	1	0	35	45	29	20	33	28	45	4	25	23	2	42	43	32	33	0	34	21	3	19	0	1	40	29	37	8	0	20	13	33	0	46	46	0	2	
9	32	0	18	44	0	26	43	42	19	0	17	0	11	16	32	43	23	24	2	13	13	0	0	34	4	28	33	27	15	0	38	0	0	41	0	37	0	16	12	11	47	0	47	47	18	8	27	10	40	22	0	22	32	8	29	40	33	39	16	27	4	21	32	0	35	38	30	18	46	32	48	35	31	5	37	35	4	41	29	0	47	25	49	20	0	6	49	11	44	30	0	20	9	35	0	2	23	0	28	
46	10	0	28	24	0	32	7	49	8	0	20	0	2	4	35	24	32	19	10	22	33	0	0	15	25	2	3	36	13	0	4	0	0	31	0	42	0	24	12	42	21	0	1	13	13	5	23	33	18	19	0	45	30	26	25	38	26	34	10	10	35	11	19	0	33	10	48	37	38	1	49	21	48	27	23	24	24	24	37	0	37	39	40	49	0	18	15	36	2	35	0	14	6	19	0	16	38	0	39	
29	6	0	33	27	0	7	27	24	34	0	2	0	17	14	47	8	7	38	20	34	40	0	0	39	15	28	31	22	27	0	20	0	0	15	0	26	0	33	35	45	32	0	39	38	36	48	46	16	1	48	0	35	8	34	15	47	35	13	27	19	3	24	3	0	25	6	15	14	26	27	43	4	36	12	29	16	23	39	21	0	18	16	42	23	0	26	18	37	26	13	0	11	22	7	0	7	25	0	46	
44	25	0	2	12	0	45	26	39	19	0	43	0	37	3	4	14	4	9	35	12	43	0	0	41	27	31	14	29	13	0	36	0	0	31	0	25	0	11	23	38	25	0	18	3	16	28	2	17	34	3	0	43	33	34	24	40	21	49	49	31	9	40	39	0	39	30	5	48	8	8	9	39	20	16	19	37	23	44	47	0	48	8	46	1	0	39	1	29	15	4	0	31	40	45	0	31	32	0	5	
38	30	0	25	46	0	33	38	47	26	0	47	0	8	45	12	34	15	19	14	8	15	0	0	38	21	30	3	39	38	0	13	0	0	1	0	8	0	32	23	22	47	0	39	32	45	6	28	20	43	10	0	24	14	46	11	5	13	41	14	45	46	35	28	0	47	13	28	15	16	27	32	32	28	2	22	34	48	30	23	0	29	39	29	41	0	21	29	38	24	14	0	11	17	34	0	18	23	0	30	
27	39	0	2	31	0	37	30	13	20	0	23	0	42	27	42	17	5	12	4	8	22	0	0	20	9	44	13	14	16	0	21	0	0	30	0	18	0	3	44	42	25	0	38	16	11	32	5	30	40	24	0	18	7	1	2	43	23	21	4	39	4	35	27	0	49	46	16	45	4	23	12	30	12	5	1	23	13	32	7	0	7	42	42	5	0	39	12	23	47	43	0	41	38	46	0	46	38	0	23	
46	37	0	30	22	0	14	38	26	26	0	38	0	26	28	30	7	35	12	18	19	13	0	0	42	43	30	45	6	22	0	49	0	0	15	0	14	0	46	47	5	15	0	34	11	1	18	31	41	49	18	0	31	13	3	21	21	28	27	6	21	15	9	41	0	32	27	24	19	9	2	46	27	13	40	40	46	15	10	35	0	21	17	34	35	0	32	1	19	26	2	0	9	32	6	0	32	46	0	40	
